 (0.790082,-0.639590,1.236183) 
 (0.791716,-0.636582,1.230369) 
 (0.796955,-0.636494,1.230199) 
 (0.813192,-0.645132,1.246894) 
 (0.809867,-0.638240,1.233572) 
 (0.812625,-0.636200,1.229629) 
 (0.814109,-0.633196,1.223824) 
 (0.815549,-0.630197,1.218028) 
 (0.825716,-0.633937,1.225256) 
 (0.823334,-0.628056,1.213889) 
 (0.834785,-0.632735,1.222934) 
 (0.850100,-0.640265,1.237487) 
 (0.842521,-0.630566,1.218742) 
 (0.838665,-0.623757,1.205582) 
 |  (-0.819319,-0.608048,1.185178) 
 (-0.814298,-0.608147,1.185371) 
 (-0.819402,-0.615856,1.200398) 
 (-0.809277,-0.612145,1.193164) 
 (-0.796682,-0.606506,1.182173) 
 (-0.804129,-0.616151,1.200972) 
 (-0.795295,-0.613365,1.195541) 
 (-0.803802,-0.624004,1.216279) 
 (-0.794940,-0.621211,1.210836) 
 (-0.793454,-0.624184,1.216629) 
 (-0.779740,-0.617512,1.203625) 
 (-0.766104,-0.610813,1.190568) 
 (-0.774256,-0.621512,1.211421) 
 (-0.781064,-0.631271,1.230444) 
 (-0.768644,-0.625517,1.219228) 
 (-0.768163,-0.629467,1.226927) 
 (-0.755815,-0.623680,1.215647) 
 (-0.757631,-0.629581,1.227149) 
 (-0.744177,-0.622786,1.213905) 
 (-0.740099,-0.623798,1.215877) 
 (-0.739468,-0.627750,1.223580) 
 (-0.735331,-0.628761,1.225552) 
 (-0.734602,-0.632723,1.233273) 
 (-0.726998,-0.630777,1.229481) 
 (-0.723930,-0.632769,1.233362) 
 (-0.723075,-0.636738,1.241099) 
 (-0.714347,-0.633782,1.235337) 
 (-0.711200,-0.635769,1.239212) 
 (-0.703608,-0.633784,1.235342) 
 (-0.704805,-0.639746,1.246962) 
 (-0.701557,-0.641734,1.250838) 
 (-0.695027,-0.640728,1.248878) 
 (-0.683126,-0.634716,1.237157) 
 (-0.686266,-0.642693,1.252707) 
 (-0.678668,-0.640663,1.248750) 
 (-0.673203,-0.640629,1.248683) 
 (-0.664586,-0.637571,1.242723) 
 (-0.662253,-0.640540,1.248510) 
 (-0.659873,-0.643512,1.254303) 
 (-0.647171,-0.636385,1.240411) 
 (-0.650886,-0.645416,1.258015) 
 (-0.645350,-0.645350,1.257885) 
 (-0.640814,-0.646291,1.259719) 
 (-0.636258,-0.647228,1.261546) 
 (-0.630691,-0.647144,1.261382) 
 (-0.626103,-0.648071,1.263190) 
 (-0.624427,-0.652056,1.270957) 
 (-0.618807,-0.651958,1.270765) 
 (-0.613183,-0.651852,1.270559) 
 (-0.601822,-0.645591,1.258355) 
 (-0.599076,-0.648541,1.264105) 
 (-0.592519,-0.647382,1.261846) 
 (-0.593437,-0.654444,1.275612) 
 (-0.584990,-0.651215,1.269317) 
 (-0.579337,-0.651065,1.269025) 
 (-0.577324,-0.655040,1.276773) 
 (-0.568021,-0.650742,1.268396) 
 (-0.565043,-0.653677,1.274117) 
 (-0.559352,-0.653501,1.273773) 
 (-0.553658,-0.653317,1.273414) 
 (-0.551450,-0.657284,1.281148) 
 (-0.543989,-0.655007,1.276708) 
 (-0.538269,-0.654801,1.276308) 
 (-0.534245,-0.656676,1.279961) 
 (-0.530187,-0.658548,1.283610) 
 (-0.526928,-0.661463,1.289292) 
 (-0.521968,-0.662282,1.290888) 
 (-0.514535,-0.659947,1.286338) 
 (-0.507942,-0.658650,1.283809) 
 (-0.502966,-0.659445,1.285359) 
 (-0.497179,-0.659181,1.284845) 
 (-0.491390,-0.658909,1.284314) 
 (-0.488711,-0.662850,1.291995) 
 (-0.484427,-0.664679,1.295560) 
 (-0.480108,-0.666504,1.299117) 
 (-0.472741,-0.664088,1.294409) 
 (-0.469879,-0.668021,1.302074) 
 (-0.464001,-0.667708,1.301465) 
 (-0.453744,-0.661010,1.288410) 
 (-0.450799,-0.664928,1.296047) 
 (-0.444222,-0.663521,1.293304) 
 (-0.439776,-0.665301,1.296774) 
 (-0.433903,-0.664942,1.296074) 
 (-0.430095,-0.667780,1.301605) 
 (-0.425558,-0.669545,1.305045) 
 (-0.418974,-0.668093,1.302215) 
 (-0.413070,-0.667701,1.301452) 
 (-0.407166,-0.667301,1.300671) 
 (-0.403849,-0.671186,1.308244) 
 (-0.397915,-0.670770,1.307434) 
 (-0.392611,-0.671421,1.308702) 
 (-0.385430,-0.668834,1.303659) 
 (-0.381345,-0.671622,1.309095) 
 (-0.376004,-0.672250,1.310317) 
 (-0.369458,-0.670709,1.307314) 
 (-0.364691,-0.672400,1.310610) 
 (-0.357004,-0.668675,1.303349) 
 (-0.352217,-0.670349,1.306612) 
 (-0.349079,-0.675268,1.316201) 
 (-0.339790,-0.668254,1.302530) 
 (-0.337667,-0.675334,1.316329) 
 (-0.331152,-0.673724,1.313190) 
 (-0.326235,-0.675364,1.316387) 
 (-0.322320,-0.679174,1.323814) 
 (-0.315293,-0.676446,1.318496) 
 (-0.309802,-0.676974,1.319526) 
 (-0.302338,-0.673130,1.312034) 
 (-0.298301,-0.676914,1.319408) 
 (-0.292781,-0.677416,1.320386) 
 (-0.285860,-0.674629,1.314954) 
 (-0.281706,-0.678393,1.322292) 
 (-0.276596,-0.679964,1.325354) 
 (-0.269710,-0.677145,1.319859) 
 (-0.265432,-0.680891,1.327160) 
 (-0.258996,-0.679146,1.323760) 
 (-0.253405,-0.679586,1.324616) 
 (-0.246601,-0.676720,1.319031) 
 (-0.241798,-0.679338,1.324133) 
 (-0.238477,-0.686349,1.337799) 
 (-0.230560,-0.680152,1.325719) 
 (-0.224198,-0.678342,1.322193) 
 (-0.219282,-0.680928,1.327233) 
 (-0.213629,-0.681303,1.327963) 
 (-0.207966,-0.681668,1.328674) 
 (-0.202295,-0.682023,1.329367) 
 (-0.196933,-0.683473,1.332194) 
 (-0.191544,-0.684915,1.335004) 
 (-0.184630,-0.680822,1.327026) 
 (-0.178653,-0.680033,1.325487) 
 (-0.173811,-0.683658,1.332553) 
 (-0.167275,-0.680635,1.326662) 
 (-0.162888,-0.686458,1.338012) 
 (-0.156121,-0.682307,1.329921) 
 (-0.151130,-0.685899,1.336922) 
 (-0.144903,-0.683941,1.333106) 
 (-0.139383,-0.685299,1.335752) 
 (-0.132973,-0.682210,1.329732) 
 (-0.127648,-0.684657,1.334502) 
 (-0.122082,-0.685986,1.337092) 
 (-0.116492,-0.687306,1.339664) 
 (-0.110163,-0.684173,1.333558) 
 (-0.104733,-0.686584,1.338256) 
 (-0.098300,-0.682317,1.329941) 
 (-0.093143,-0.686931,1.338934) 
 (-0.087625,-0.689314,1.343578) 
 (-0.081405,-0.686127,1.337366) 
 (-0.075483,-0.685153,1.335468) 
 (-0.069576,-0.684168,1.333549) 
 (-0.063893,-0.685398,1.335946) 
 (-0.058377,-0.688845,1.342663) 
 (-0.052546,-0.688942,1.342854) 
 (-0.046412,-0.684577,1.334346) 
 (-0.040813,-0.687994,1.341005) 
 (-0.035043,-0.689174,1.343306) 
 (-0.029252,-0.690344,1.345586) 
 (-0.023441,-0.691504,1.347847) 
